gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,loan_amount,loan_purpose,loan_length,collateral,writeoff
M,24,widowed,highsch,1,self_employ,0,2,38250,no,0,owner,4,21763,other,44,yes,no
F,30,divorced,univ,1,unemployed,0,6,0,no,0,tenant,5,13494,wedding,26,no,yes
M,57,married,postgrad,0,full_time,13,12,148750,yes,33381,owner,1,98798,home_improv,25,no,yes
F,29,married,highsch,0,full_time,0,7,31875,no,0,tenant,4,5931,vehicle,7,no,no
M,34,married,postgrad,0,unemployed,0,12,0,yes,20614,owner_morg,3,18228,vehicle,38,yes,no
M,31,divorced,highsch,2,self_employ,7,6,57375,no,0,owner,2,5456,wedding,12,no,yes
M,26,divorced,highsch,1,full_time,1,1,31875,no,0,tenant,2,24012,debt_consol,49,no,no
F,32,married,highsch,2,full_time,0,8,47813,yes,52811,owner_morg,11,74421,debt_consol,28,yes,no
F,27,divorced,univ,2,full_time,2,4,53125,no,0,tenant,7,41854,debt_consol,27,no,no
F,30,widowed,univ,1,full_time,6,9,79688,no,0,owner_morg,15,24573,wedding,43,yes,no
F,22,single,univ,0,full_time,2,3,53125,no,0,tenant,4,26565,wedding,51,no,yes
M,41,divorced,basic,1,full_time,5,5,31875,no,0,tenant,10,28237,other,34,no,yes
F,35,widowed,highsch,3,unemployed,0,10,0,no,0,tenant,4,5131,other,12,no,no
M,22,divorced,univ,0,part_time,2,2,31875,no,0,owner,6,25948,vehicle,35,yes,no
F,45,widowed,basic,0,unemployed,0,3,0,no,0,owner,13,12468,debt_consol,40,yes,no
F,40,widowed,postgrad,1,full_time,6,14,127500,no,0,owner_morg,11,118873,debt_consol,96,no,no
F,43,single,highsch,0,part_time,5,13,28688,no,0,tenant,14,23917,vehicle,57,no,yes
F,49,divorced,postgrad,1,full_time,1,4,127500,no,0,owner,8,126840,debt_consol,56,yes,no
F,40,single,highsch,0,self_employ,3,12,57375,no,0,tenant,10,26875,debt_consol,30,no,yes
F,40,married,univ,1,full_time,1,14,79688,no,0,tenant,14,47407,debt_consol,56,yes,no
F,23,single,univ,0,self_employ,2,2,63750,no,0,tenant,5,26676,other,40,no,yes
F,49,single,postgrad,0,full_time,12,18,127500,no,0,owner,5,31953,home_improv,38,yes,no
F,36,single,highsch,0,part_time,5,5,28688,no,0,tenant,8,26122,debt_consol,53,no,no
M,25,divorced,basic,3,full_time,0,2,21250,no,0,tenant,5,15259,other,32,no,yes
M,39,widowed,basic,2,full_time,2,14,31875,no,0,owner,4,6934,wedding,6,no,no
M,25,single,highsch,0,self_employ,3,3,38250,no,0,tenant,6,11595,other,59,no,no
F,21,married,highsch,0,full_time,0,1,31875,yes,50971,tenant,5,52876,other,49,no,yes
M,28,single,highsch,0,unemployed,0,4,0,no,0,tenant,5,10493,vehicle,30,no,yes
M,30,single,highsch,0,self_employ,0,3,57375,no,0,owner,6,47502,home_improv,28,no,yes
M,29,single,highsch,0,self_employ,2,4,38250,no,0,owner_morg,3,20090,other,41,yes,no
F,21,married,highsch,1,unemployed,0,2,0,yes,40144,owner_morg,6,31134,home_improv,26,yes,no
M,23,single,univ,0,self_employ,2,2,63750,no,0,tenant,6,29558,other,38,no,yes
F,30,divorced,univ,0,part_time,1,4,47813,no,0,tenant,7,9990,debt_consol,7,no,yes
M,25,single,univ,0,unemployed,0,4,0,no,0,tenant,8,13740,wedding,47,no,yes
M,44,married,basic,0,unemployed,0,16,0,yes,56754,tenant,1,50467,debt_consol,49,no,yes
M,36,married,univ,0,self_employ,8,13,95625,yes,43646,owner,9,96637,home_improv,48,no,yes
M,38,single,highsch,0,unemployed,0,2,0,no,0,owner_morg,5,7357,vehicle,10,yes,no
F,28,married,highsch,0,full_time,0,2,31875,yes,39305,owner_morg,7,50580,home_improv,44,no,yes
F,25,married,highsch,0,unemployed,0,2,0,yes,11861,tenant,3,10828,other,34,no,yes
F,36,divorced,univ,2,part_time,8,11,47813,no,0,owner_morg,15,41908,home_improv,45,yes,no
F,23,widowed,basic,0,self_employ,0,3,25500,no,0,tenant,4,14625,debt_consol,53,no,no
M,23,single,basic,0,full_time,2,4,21250,no,0,tenant,6,9514,vehicle,12,no,yes
M,36,widowed,univ,1,unemployed,0,7,0,no,0,owner,4,16529,wedding,47,yes,no
F,32,divorced,postgrad,1,full_time,2,3,127500,no,0,tenant,14,40299,other,49,no,yes
F,40,widowed,highsch,0,part_time,4,6,28688,no,0,tenant,14,15324,debt_consol,47,no,no
M,27,married,highsch,2,self_employ,1,3,38250,yes,51351,tenant,6,43785,debt_consol,32,no,no
M,32,single,postgrad,0,full_time,7,8,127500,no,0,tenant,15,6339,other,12,no,yes
M,40,married,postgrad,2,unemployed,0,0,0,no,0,tenant,6,8594,debt_consol,11,no,no
F,45,married,univ,0,full_time,2,6,79688,yes,56706,tenant,3,119288,debt_consol,77,yes,no
M,37,divorced,highsch,3,self_employ,8,12,57375,no,0,tenant,13,35068,other,37,no,no
M,30,divorced,postgrad,2,full_time,0,6,127500,no,0,tenant,9,6909,vehicle,11,no,yes
F,35,divorced,highsch,2,unemployed,0,10,0,no,0,tenant,8,13499,vehicle,52,no,yes
F,29,divorced,postgrad,0,full_time,0,1,85000,no,0,owner_morg,1,72270,home_improv,43,no,yes
F,48,married,highsch,1,part_time,4,8,28688,yes,39369,tenant,11,24910,other,49,no,no
M,21,married,basic,1,unemployed,0,2,0,yes,47627,tenant,8,39708,debt_consol,26,no,no
M,37,married,basic,0,full_time,10,13,31875,yes,42535,owner,6,8781,vehicle,12,no,no
M,26,married,basic,2,full_time,3,3,21250,no,0,owner_morg,1,10591,vehicle,27,no,no
M,31,married,postgrad,1,part_time,3,9,76500,yes,29967,tenant,2,29357,debt_consol,40,no,no
M,25,single,highsch,0,unemployed,0,5,0,no,0,tenant,7,11870,wedding,54,no,no
M,26,single,basic,0,full_time,0,1,21250,no,0,tenant,4,15399,wedding,58,no,yes
F,30,married,basic,1,part_time,5,7,19125,yes,45070,owner,3,33971,home_improv,54,yes,no
F,26,married,highsch,2,full_time,2,6,31875,yes,37688,owner,2,6147,holidays,9,yes,no
M,35,single,highsch,0,full_time,2,12,47813,no,0,tenant,11,35845,other,36,no,yes
M,30,widowed,univ,0,self_employ,5,6,95625,no,0,tenant,1,8552,wedding,6,no,no
M,23,widowed,highsch,1,full_time,0,4,31875,no,0,tenant,3,27296,debt_consol,42,no,no
F,32,single,highsch,0,full_time,2,11,47813,no,0,owner_morg,5,43420,home_improv,24,yes,no
F,24,single,univ,0,self_employ,3,3,63750,no,0,tenant,7,40385,debt_consol,42,no,yes
M,26,married,univ,0,unemployed,0,1,0,yes,8291,tenant,3,9358,debt_consol,6,no,yes
F,27,married,highsch,0,part_time,5,7,19125,yes,37029,tenant,5,13202,other,55,no,yes
M,29,married,postgrad,1,part_time,2,6,51000,yes,46755,owner,3,53107,home_improv,25,yes,no
F,28,divorced,highsch,2,self_employ,4,8,38250,no,0,tenant,5,15711,wedding,47,no,yes
F,34,single,basic,0,self_employ,6,5,38250,no,0,owner,10,12406,other,58,no,no
F,22,single,highsch,0,part_time,0,3,19125,no,0,tenant,4,8464,wedding,6,no,no
F,39,married,highsch,0,unemployed,0,6,0,yes,45360,tenant,1,36439,debt_consol,38,no,yes
F,44,married,highsch,2,full_time,12,17,47813,yes,56246,tenant,6,30090,debt_consol,51,no,no
M,39,single,univ,0,part_time,1,4,47813,no,0,tenant,7,10177,wedding,49,no,no
F,25,single,highsch,0,part_time,3,4,19125,no,0,owner_morg,9,9721,debt_consol,8,no,yes
F,28,widowed,highsch,2,full_time,2,2,31875,no,0,owner,1,16043,vehicle,44,yes,no
F,36,widowed,highsch,0,self_employ,7,6,57375,no,0,tenant,14,17658,debt_consol,25,yes,no
F,50,married,highsch,1,self_employ,14,24,66938,yes,39451,tenant,15,103552,other,53,no,yes
M,31,married,highsch,1,self_employ,5,10,57375,yes,37956,tenant,2,77943,debt_consol,52,no,no
F,26,single,highsch,0,full_time,4,3,31875,no,0,tenant,4,30086,debt_consol,30,no,no
M,23,single,univ,0,self_employ,2,3,63750,no,0,tenant,8,32725,debt_consol,24,no,yes
F,33,single,basic,0,self_employ,1,10,38250,no,0,tenant,6,8810,other,7,no,yes
F,41,single,univ,0,full_time,6,10,79688,no,0,tenant,4,47522,other,30,no,yes
F,32,married,highsch,3,unemployed,0,4,0,yes,35540,tenant,3,21701,other,46,no,no
M,50,single,highsch,0,part_time,5,6,33469,no,0,tenant,14,6495,other,10,no,yes
F,31,single,postgrad,0,full_time,1,3,127500,no,0,owner_morg,11,7927,debt_consol,6,no,yes
F,25,single,highsch,0,part_time,1,1,19125,no,0,owner_morg,10,11965,other,54,yes,no
F,26,single,univ,0,full_time,3,3,53125,no,0,tenant,5,33554,debt_consol,39,no,yes
M,36,divorced,highsch,0,self_employ,4,14,57375,no,0,owner_morg,13,22113,wedding,28,yes,no
M,27,married,univ,0,unemployed,0,4,0,yes,43428,tenant,6,20234,vehicle,35,no,yes
F,38,married,basic,3,part_time,9,10,19125,no,0,tenant,7,11618,vehicle,46,no,yes
F,27,divorced,univ,3,part_time,4,6,31875,no,0,tenant,1,29019,other,51,no,yes
M,42,married,basic,0,part_time,3,5,19125,yes,20361,tenant,13,10562,other,57,no,yes
M,29,single,univ,0,part_time,1,2,31875,no,0,tenant,3,28964,other,29,no,yes
F,42,single,highsch,0,unemployed,0,8,0,no,0,tenant,10,10525,other,27,no,no
F,37,married,highsch,0,unemployed,0,6,0,yes,6914,owner,10,19084,holidays,47,yes,no
M,38,single,highsch,0,part_time,6,15,28688,no,0,owner_morg,5,20874,vehicle,42,yes,no
F,27,married,basic,1,full_time,5,5,21250,yes,27746,tenant,8,48975,other,26,no,no
M,33,married,univ,0,part_time,2,2,47813,yes,50865,tenant,14,69619,other,26,no,yes
F,31,single,postgrad,0,full_time,7,10,127500,no,0,tenant,14,47255,debt_consol,53,no,yes
M,22,divorced,univ,1,full_time,0,0,53125,no,0,owner,6,44440,home_improv,37,yes,no
M,33,married,highsch,2,full_time,4,6,47813,yes,49114,owner,9,48241,home_improv,28,no,no
M,30,divorced,basic,1,unemployed,0,4,0,no,0,owner_morg,7,10141,vehicle,36,yes,no
F,35,widowed,highsch,0,full_time,8,10,47813,no,0,owner_morg,11,38675,home_improv,27,no,no
F,43,divorced,highsch,0,full_time,1,2,47813,no,0,tenant,10,44223,debt_consol,42,no,yes
M,37,married,postgrad,2,part_time,10,8,76500,no,0,tenant,10,23427,holidays,55,no,no
M,50,divorced,highsch,2,unemployed,0,1,0,no,0,tenant,9,5574,vehicle,7,no,yes
F,36,divorced,highsch,2,self_employ,5,10,57375,no,0,tenant,6,52822,debt_consol,29,no,yes
F,31,divorced,postgrad,1,full_time,4,10,127500,no,0,owner,6,50451,home_improv,56,yes,no
M,36,married,univ,2,full_time,1,2,79688,no,0,tenant,4,62326,debt_consol,48,no,no
M,45,single,postgrad,0,full_time,7,19,127500,no,0,tenant,9,39512,debt_consol,56,no,yes
M,43,divorced,highsch,0,full_time,7,17,47813,no,0,owner,7,16618,wedding,59,no,yes
F,29,single,postgrad,0,full_time,4,7,85000,no,0,tenant,3,31699,debt_consol,45,no,yes
M,27,married,univ,0,full_time,3,4,53125,yes,42046,tenant,7,39606,debt_consol,60,no,yes
F,26,divorced,univ,0,unemployed,0,5,0,no,0,owner,8,19710,wedding,31,yes,no
M,27,divorced,highsch,1,full_time,2,4,31875,no,0,owner_morg,6,15700,other,24,yes,no
M,39,divorced,univ,0,self_employ,2,10,95625,no,0,owner,6,12339,debt_consol,55,yes,yes
F,24,married,basic,1,part_time,0,5,12750,no,0,owner,3,8875,holidays,11,yes,no
M,38,single,univ,0,part_time,7,16,47813,no,0,owner,3,15322,other,52,yes,no
F,38,married,postgrad,2,self_employ,5,6,153000,yes,94363,tenant,12,64029,debt_consol,49,no,no
M,37,single,highsch,0,full_time,0,2,47813,no,0,owner,6,47695,debt_consol,33,yes,no
M,27,divorced,basic,0,self_employ,1,6,25500,no,0,tenant,3,9450,wedding,9,no,yes
M,36,married,postgrad,3,unemployed,0,11,0,yes,21854,tenant,12,5635,other,6,no,no
M,31,divorced,postgrad,1,full_time,4,8,127500,no,0,tenant,15,8800,wedding,6,no,yes
F,29,married,highsch,1,self_employ,1,6,38250,yes,57449,tenant,9,17715,other,57,no,no
F,25,divorced,univ,0,full_time,3,6,53125,no,0,owner_morg,7,24330,vehicle,33,no,yes
M,36,single,highsch,0,full_time,5,7,47813,no,0,owner,6,10675,other,30,yes,yes
M,30,divorced,highsch,1,self_employ,1,2,57375,no,0,owner_morg,6,33535,home_improv,47,no,yes
M,38,married,highsch,3,part_time,4,9,28688,yes,58815,owner_morg,6,37959,home_improv,56,yes,yes
M,29,married,univ,1,full_time,2,2,53125,yes,45474,tenant,5,57409,debt_consol,25,no,no
F,29,divorced,highsch,1,unemployed,0,4,0,no,0,owner_morg,10,11675,vehicle,55,yes,no
M,41,widowed,univ,2,full_time,8,12,79688,no,0,owner_morg,10,28316,vehicle,30,no,no
M,32,widowed,highsch,1,full_time,5,10,47813,no,0,owner,2,6063,other,7,yes,no
F,48,married,postgrad,3,part_time,6,16,76500,yes,35632,owner,11,46616,home_improv,38,yes,no
M,29,divorced,highsch,3,full_time,3,2,31875,no,0,tenant,7,19188,vehicle,43,no,no
M,31,married,univ,0,self_employ,0,5,95625,no,0,tenant,3,95035,other,51,no,yes
M,38,married,basic,0,full_time,5,15,31875,yes,57871,tenant,2,27667,vehicle,51,no,no
M,36,divorced,univ,0,full_time,5,4,79688,no,0,tenant,10,43568,other,60,no,yes
F,22,divorced,univ,1,part_time,0,2,31875,no,0,owner_morg,7,5928,wedding,8,no,yes
F,31,divorced,postgrad,3,full_time,6,6,127500,no,0,owner_morg,6,72461,home_improv,53,yes,no
M,35,single,highsch,0,part_time,4,3,28688,no,0,owner,2,20518,debt_consol,26,yes,no
F,33,married,highsch,0,part_time,4,6,28688,yes,59958,tenant,8,69697,other,39,no,no
M,28,divorced,univ,0,unemployed,0,8,0,no,0,owner_morg,1,9724,vehicle,6,no,no
F,31,widowed,univ,1,full_time,3,10,79688,no,0,owner,10,69771,home_improv,48,yes,no
F,44,married,univ,0,self_employ,11,9,95625,yes,35217,owner,15,79335,home_improv,60,no,yes
F,24,married,basic,0,full_time,1,3,21250,no,0,tenant,6,5577,holidays,10,no,yes
M,30,single,highsch,0,part_time,0,5,28688,no,0,owner,2,13836,debt_consol,46,no,yes
M,34,single,highsch,0,full_time,4,7,47813,no,0,tenant,12,43429,debt_consol,58,no,yes
F,27,married,highsch,1,unemployed,0,7,0,yes,24822,tenant,9,11336,vehicle,37,no,no
M,27,divorced,univ,1,self_employ,0,1,63750,no,0,tenant,4,7766,debt_consol,10,no,yes
M,40,widowed,postgrad,2,full_time,11,18,127500,no,0,owner,15,63652,debt_consol,54,yes,yes
M,25,widowed,highsch,3,self_employ,4,5,38250,no,0,tenant,6,31341,other,29,no,no
M,22,widowed,basic,0,self_employ,1,3,25500,no,0,tenant,8,12299,wedding,45,no,no
F,41,single,highsch,0,part_time,4,6,28688,no,0,owner,2,24579,vehicle,53,no,yes
M,39,divorced,univ,2,full_time,3,7,79688,no,0,owner,5,37285,home_improv,55,yes,no
F,40,single,highsch,0,full_time,10,14,47813,no,0,owner_morg,13,9833,other,6,yes,yes
F,40,married,highsch,2,part_time,1,2,28688,yes,31923,tenant,13,60156,other,37,no,no
M,26,married,univ,3,unemployed,0,6,0,yes,13805,owner_morg,3,15716,holidays,29,yes,no
M,34,divorced,univ,1,full_time,1,6,79688,no,0,tenant,5,14402,debt_consol,47,no,no
F,25,single,highsch,0,part_time,2,3,19125,no,0,tenant,3,12750,wedding,40,no,yes
F,24,married,highsch,0,part_time,0,3,19125,no,0,owner,4,14092,debt_consol,59,no,yes
M,23,widowed,highsch,0,self_employ,2,4,38250,no,0,owner,8,14235,wedding,44,yes,no
M,24,divorced,univ,1,full_time,0,5,53125,no,0,tenant,5,48315,other,40,no,yes
F,54,married,univ,0,self_employ,13,11,111563,yes,71167,owner,2,75526,home_improv,30,yes,no
M,32,married,basic,0,unemployed,0,0,0,yes,47980,tenant,11,22132,other,51,no,no
M,24,married,highsch,0,self_employ,1,5,38250,yes,47873,owner,5,45087,home_improv,42,yes,no
M,26,widowed,univ,2,unemployed,0,3,0,no,0,tenant,9,17901,debt_consol,27,no,no
F,40,single,univ,0,full_time,8,18,79688,no,0,owner,5,5540,debt_consol,12,no,yes
F,36,divorced,highsch,2,part_time,5,9,28688,no,0,owner_morg,7,10208,other,37,yes,no
F,22,divorced,univ,1,part_time,0,2,31875,no,0,owner_morg,3,23200,vehicle,45,yes,no
F,37,married,univ,2,unemployed,0,9,0,yes,29336,owner,13,19386,other,30,no,yes
M,32,single,basic,0,unemployed,0,0,0,no,0,tenant,4,18295,wedding,52,no,yes
F,25,married,univ,0,part_time,1,2,31875,yes,46710,owner_morg,8,69566,home_improv,44,yes,no
F,41,single,basic,0,full_time,7,10,31875,no,0,owner_morg,14,13322,wedding,27,yes,no
M,49,single,univ,0,self_employ,7,23,95625,no,0,tenant,3,41034,debt_consol,33,no,yes
M,48,married,highsch,1,full_time,6,17,47813,yes,52818,owner_morg,15,40692,debt_consol,48,yes,no
M,25,widowed,univ,0,full_time,0,6,53125,no,0,tenant,7,47673,debt_consol,30,no,yes
M,22,single,univ,0,part_time,1,2,31875,no,0,owner_morg,8,11989,wedding,30,yes,no
F,25,single,univ,0,full_time,3,2,53125,no,0,tenant,10,34526,debt_consol,52,no,no
M,29,married,basic,2,unemployed,0,2,0,no,0,owner,3,16623,holidays,34,yes,no
M,22,married,basic,0,full_time,0,0,21250,yes,24225,tenant,5,26790,debt_consol,56,no,yes
M,25,single,univ,0,self_employ,3,4,63750,no,0,owner,3,50276,home_improv,56,yes,no
M,26,single,univ,0,full_time,2,6,53125,no,0,owner,1,46971,home_improv,57,no,no
F,50,single,highsch,0,part_time,11,23,33469,no,0,tenant,6,20483,other,32,no,yes
M,27,widowed,postgrad,2,full_time,4,6,85000,no,0,owner_morg,1,76630,home_improv,51,no,no
M,37,single,highsch,0,full_time,5,11,47813,no,0,tenant,2,8315,debt_consol,9,no,yes
M,21,widowed,basic,1,unemployed,0,1,0,no,0,tenant,6,14729,vehicle,24,no,no
M,30,married,basic,1,self_employ,3,3,38250,yes,39223,owner_morg,1,12250,vehicle,25,yes,no
M,24,divorced,basic,1,full_time,1,5,21250,no,0,tenant,3,10948,debt_consol,39,no,no
M,37,divorced,postgrad,2,full_time,0,14,127500,no,0,owner,8,101207,home_improv,74,yes,no
F,28,single,univ,0,unemployed,0,1,0,no,0,owner_morg,9,17176,vehicle,38,yes,no
M,30,single,highsch,0,part_time,5,7,28688,no,0,tenant,11,10923,wedding,32,no,yes
F,35,widowed,univ,3,unemployed,0,8,0,no,0,owner,12,6790,debt_consol,9,no,yes
F,28,married,postgrad,1,unemployed,0,7,0,no,0,tenant,2,15419,other,24,no,no
M,37,divorced,basic,1,unemployed,0,14,0,no,0,owner,4,9251,vehicle,8,yes,no
F,35,divorced,basic,1,full_time,5,8,31875,no,0,owner_morg,5,15696,wedding,51,yes,no
F,33,married,highsch,3,part_time,0,8,28688,yes,46768,tenant,12,59188,debt_consol,48,yes,no
M,35,divorced,highsch,2,self_employ,9,10,57375,no,0,owner_morg,4,36993,debt_consol,42,yes,no
M,39,single,univ,0,part_time,1,16,47813,no,0,tenant,6,10551,vehicle,32,no,no
M,39,married,highsch,0,part_time,5,8,28688,no,0,owner_morg,14,14900,vehicle,47,yes,no
F,40,single,highsch,0,part_time,7,12,28688,no,0,tenant,11,25223,vehicle,31,no,yes
F,24,married,univ,0,unemployed,0,2,0,yes,12080,owner_morg,4,11926,debt_consol,38,no,yes
F,28,divorced,basic,1,full_time,1,1,21250,no,0,tenant,4,13471,debt_consol,40,no,yes
F,43,divorced,postgrad,3,full_time,11,11,127500,no,0,owner_morg,6,68496,home_improv,35,no,yes
F,33,single,highsch,0,unemployed,0,3,0,no,0,tenant,1,12459,other,36,no,no
F,23,single,highsch,0,part_time,2,4,19125,no,0,tenant,5,18634,debt_consol,60,no,yes
M,52,married,univ,0,unemployed,0,16,0,yes,31657,tenant,12,18546,holidays,50,no,yes
F,43,divorced,highsch,1,unemployed,0,5,0,no,0,owner_morg,9,12130,debt_consol,56,yes,no
M,25,married,highsch,0,full_time,2,2,31875,no,0,owner_morg,2,30663,debt_consol,33,yes,no
F,29,single,postgrad,0,full_time,0,3,85000,no,0,tenant,7,59956,debt_consol,46,yes,no
F,25,divorced,highsch,2,full_time,4,4,31875,no,0,tenant,10,19863,debt_consol,30,no,yes
F,25,single,highsch,0,self_employ,2,4,38250,no,0,tenant,1,33167,other,32,no,yes
M,34,single,basic,0,part_time,5,6,19125,no,0,owner,1,9021,debt_consol,12,yes,no
M,36,married,univ,2,full_time,9,7,79688,yes,28232,owner_morg,2,51506,home_improv,51,yes,no
F,28,single,basic,0,self_employ,5,6,25500,no,0,tenant,6,7935,debt_consol,12,no,yes
M,29,single,univ,0,unemployed,0,1,0,no,0,owner_morg,1,15444,debt_consol,44,no,no
F,28,married,highsch,1,part_time,0,8,19125,yes,36700,tenant,9,9108,other,11,no,no
M,26,divorced,univ,1,self_employ,4,4,63750,no,0,tenant,1,40546,debt_consol,59,no,yes
F,27,divorced,highsch,2,part_time,3,7,19125,no,0,tenant,5,15361,vehicle,47,no,no
M,29,married,univ,0,unemployed,0,2,0,yes,7352,owner,1,15533,holidays,56,no,yes
F,35,single,univ,0,part_time,9,8,47813,no,0,tenant,2,15444,debt_consol,59,no,no
F,36,widowed,basic,0,self_employ,2,4,38250,no,0,owner,7,22596,wedding,46,no,no
M,25,single,univ,0,full_time,2,4,53125,no,0,owner_morg,8,45136,home_improv,36,yes,no
F,36,married,postgrad,2,self_employ,0,6,153000,no,0,tenant,7,36424,other,27,no,no
M,28,divorced,univ,2,self_employ,3,5,63750,no,0,tenant,8,48051,debt_consol,30,no,yes
M,24,single,univ,0,unemployed,0,4,0,no,0,tenant,5,17891,debt_consol,59,no,yes
M,39,divorced,univ,0,unemployed,0,7,0,no,0,owner_morg,12,5359,vehicle,12,no,no
M,39,single,univ,0,self_employ,3,11,95625,no,0,tenant,6,23247,debt_consol,60,yes,yes
F,28,divorced,univ,1,full_time,1,3,53125,no,0,owner,10,19517,debt_consol,25,no,yes
F,35,widowed,univ,1,self_employ,9,9,95625,no,0,tenant,8,55651,other,26,no,no
M,31,single,highsch,0,part_time,2,10,28688,no,0,tenant,14,24876,debt_consol,43,no,yes
M,40,single,highsch,0,full_time,0,18,47813,no,0,tenant,14,5884,vehicle,12,no,no
M,23,single,basic,0,self_employ,0,1,25500,no,0,tenant,6,11856,debt_consol,36,no,no
M,27,divorced,basic,2,unemployed,0,3,0,no,0,tenant,9,14622,other,33,no,yes
M,27,divorced,highsch,0,full_time,0,5,31875,no,0,owner_morg,10,11328,debt_consol,57,yes,no
M,56,married,highsch,1,part_time,6,18,33469,yes,36561,owner,10,58535,debt_consol,31,yes,no
F,28,married,highsch,2,self_employ,1,2,38250,yes,39172,tenant,9,37180,debt_consol,43,no,no
F,27,widowed,highsch,2,full_time,1,2,31875,no,0,tenant,4,18710,vehicle,59,no,no
F,36,married,basic,3,unemployed,0,6,0,yes,53136,tenant,12,5513,other,10,no,no
F,30,married,highsch,2,unemployed,0,2,0,yes,16652,tenant,4,18232,holidays,41,no,no
F,29,divorced,highsch,1,full_time,4,5,31875,no,0,tenant,6,21899,vehicle,46,no,yes
F,41,widowed,postgrad,1,full_time,1,12,127500,no,0,tenant,13,26853,debt_consol,46,no,yes
F,36,divorced,univ,0,full_time,1,13,79688,no,0,owner,11,42031,debt_consol,52,yes,no
F,23,widowed,univ,0,self_employ,2,4,63750,no,0,owner_morg,7,43458,home_improv,45,yes,no
F,22,divorced,highsch,1,part_time,2,2,19125,no,0,tenant,8,8289,vehicle,7,no,yes
F,40,married,postgrad,2,full_time,9,8,127500,yes,41803,owner,2,13350,debt_consol,44,no,no
F,21,divorced,highsch,0,self_employ,0,2,38250,no,0,tenant,6,24355,debt_consol,55,no,yes
M,34,single,basic,0,full_time,8,6,31875,no,0,owner,9,21079,debt_consol,55,yes,no
F,28,divorced,univ,2,self_employ,1,5,63750,no,0,tenant,1,20606,vehicle,39,no,no
F,22,divorced,highsch,0,unemployed,0,2,0,no,0,tenant,3,16310,vehicle,34,no,no
F,43,widowed,postgrad,2,full_time,3,12,127500,no,0,owner,8,93900,debt_consol,50,yes,yes
F,50,single,postgrad,0,full_time,4,13,148750,no,0,owner,10,101083,home_improv,56,yes,no
F,31,married,univ,0,self_employ,6,5,95625,yes,67170,owner_morg,2,139506,home_improv,75,yes,no
M,32,single,highsch,0,full_time,0,0,47813,no,0,tenant,11,36588,debt_consol,50,no,no
M,28,divorced,basic,0,unemployed,0,0,0,no,0,owner_morg,6,7327,debt_consol,7,yes,no
F,36,single,highsch,0,self_employ,7,9,57375,no,0,owner_morg,4,18388,other,38,no,yes
F,50,single,postgrad,0,full_time,7,10,148750,no,0,tenant,6,55204,debt_consol,29,no,yes
F,34,divorced,univ,2,part_time,1,9,47813,no,0,tenant,9,46586,debt_consol,31,no,yes
F,28,single,highsch,0,unemployed,0,0,0,no,0,tenant,6,6269,vehicle,10,no,no
F,23,divorced,highsch,0,full_time,0,2,31875,no,0,tenant,8,14477,other,38,no,no
F,35,single,univ,0,self_employ,1,13,95625,no,0,owner_morg,7,51287,debt_consol,37,yes,no
F,28,divorced,univ,3,unemployed,0,6,0,no,0,tenant,5,8986,vehicle,11,no,yes
F,30,widowed,basic,0,self_employ,6,7,38250,no,0,owner_morg,3,5520,debt_consol,8,yes,no
M,35,single,postgrad,0,full_time,6,10,127500,no,0,tenant,4,105135,debt_consol,81,no,yes
F,38,single,univ,0,unemployed,0,15,0,no,0,tenant,3,10160,wedding,36,no,yes
M,25,single,basic,0,unemployed,0,0,0,no,0,owner_morg,5,11389,wedding,31,no,no
F,27,married,basic,2,unemployed,0,0,0,yes,30311,owner,5,10949,vehicle,53,yes,yes
M,39,divorced,highsch,2,unemployed,0,17,0,no,0,owner_morg,3,8914,other,9,yes,no
F,37,single,postgrad,0,full_time,0,14,127500,no,0,owner_morg,1,80631,home_improv,41,no,yes
F,30,divorced,basic,3,full_time,3,5,31875,no,0,tenant,3,24504,other,25,no,yes
M,30,married,univ,2,full_time,6,8,79688,yes,63459,owner,3,30326,home_improv,40,yes,no
M,24,divorced,basic,1,full_time,1,3,21250,no,0,tenant,3,17633,other,36,no,yes
M,22,single,univ,0,full_time,1,1,53125,no,0,tenant,3,18525,vehicle,27,yes,no
M,23,married,highsch,1,self_employ,3,2,38250,yes,47906,tenant,8,83716,other,54,no,no
M,37,divorced,highsch,2,full_time,2,2,47813,no,0,owner,9,14111,vehicle,36,yes,yes
F,33,single,univ,0,full_time,5,11,79688,no,0,owner_morg,2,36850,home_improv,30,yes,no
M,27,single,highsch,0,full_time,1,4,31875,no,0,tenant,3,30641,debt_consol,44,no,yes
M,40,widowed,highsch,0,full_time,7,18,47813,no,0,owner_morg,2,7216,wedding,9,yes,no
F,35,married,highsch,1,part_time,5,8,28688,yes,52395,tenant,13,73900,debt_consol,27,no,no
M,32,single,postgrad,0,full_time,6,11,127500,no,0,tenant,8,119034,debt_consol,81,no,no
F,36,divorced,univ,0,full_time,9,9,79688,no,0,tenant,8,40612,debt_consol,45,no,yes
F,37,married,postgrad,3,part_time,6,9,76500,yes,33168,tenant,6,56098,debt_consol,59,no,no
M,38,married,postgrad,1,self_employ,4,15,153000,yes,107551,tenant,9,90333,other,30,no,no
